severity	mobj_type	label	rootly_id	rootly_url	created_at	status
SEV0	MT_BRUISER	SEV0: checkout API outage	id1	url	2026-04-30T13:02:00Z	started
SEV0	MT_BRUISER	SEV0: checkout API outage id1b	id1b	url	2026-04-30T12:02:00Z	started
SEV1	MT_SHADOWS	SEV1: payments failing	id2	url	2026-04-29T10:00:00Z	started
SEV1	MT_SHADOWS	SEV1: payments failing id2b	id2b	url	2026-04-29T09:00:00Z	started
SEV2	MT_SERGEANT	SEV2: API latency spike	id3	url	2026-04-28T09:00:00Z	resolved
SEV2	MT_SERGEANT	SEV2: API latency spike id3b	id3b	url	2026-04-28T08:00:00Z	resolved
SEV3	MT_TROOP	SEV3: UI glitch	id4	url	2026-04-27T08:00:00Z	resolved
SEV3	MT_TROOP	SEV3: UI glitch id4b	id4b	url	2026-04-27T07:00:00Z	resolved
SEV4	MT_SHOTGUY	SEV4: logging delay	id5	url	2026-04-26T07:00:00Z	resolved
SEV4	MT_SHOTGUY	SEV4: logging delay id5b	id5b	url	2026-04-26T06:00:00Z	resolved
SEV5	MT_POSSESSED	SEV5: planned maintenance	id6	url	2026-04-25T06:00:00Z	resolved
SEV5	MT_POSSESSED	SEV5: planned maintenance id6b	id6b	url	2026-04-25T05:00:00Z	resolved
